Local time,Date,Open,High,Low,Close,Volume
29.10.2018 00:30:00.000 GMT+0330,29.10.2018,77.704,78.005,76.535,76.81,2.363
30.10.2018 00:30:00.000 GMT+0330,30.10.2018,76.81,77.291,75.075,75.915,4.3387
31.10.2018 00:30:00.000 GMT+0330,31.10.2018,76.26,77.096,74.555,74.575,5.478
01.11.2018 00:30:00.000 GMT+0330,01.11.2018,74.658,74.925,72.546,72.725,5.0365
02.11.2018 00:30:00.000 GMT+0330,02.11.2018,72.738,73.466,72.145,72.525,4.3288
03.11.2018 00:30:00.000 GMT+0330,03.11.2018,72.525,72.525,72.525,72.525,0
04.11.2018 00:30:00.000 GMT+0330,04.11.2018,72.525,72.525,72.525,72.525,0
05.11.2018 01:30:00.000 GMT+0330,05.11.2018,72.648,74.101,72.235,72.645,3.364
06.11.2018 01:30:00.000 GMT+0330,06.11.2018,72.808,73.256,71.155,71.675,4.1677
07.11.2018 01:30:00.000 GMT+0330,07.11.2018,71.68,73.531,71.335,71.955,4.5282
08.11.2018 01:30:00.000 GMT+0330,08.11.2018,72.146,73.055,70.555,70.895,3.8984
09.11.2018 01:30:00.000 GMT+0330,09.11.2018,70.836,70.956,69.115,69.605,5.2088
10.11.2018 01:30:00.000 GMT+0330,10.11.2018,69.605,69.605,69.605,69.605,0
11.11.2018 01:30:00.000 GMT+0330,11.11.2018,69.605,69.605,69.605,69.605,0
12.11.2018 01:30:00.000 GMT+0330,12.11.2018,70.995,71.846,68.845,69.035,5.1546
13.11.2018 01:30:00.000 GMT+0330,13.11.2018,69.191,69.656,64.625,65.205,7.0001
14.11.2018 01:30:00.000 GMT+0330,14.11.2018,65.601,67.601,64.995,65.853,9.1344
15.11.2018 01:30:00.000 GMT+0330,15.11.2018,66.021,67.365,65.755,66.615,5.419
16.11.2018 01:30:00.000 GMT+0330,16.11.2018,66.706,68.346,66.085,66.975,5.5197
17.11.2018 01:30:00.000 GMT+0330,17.11.2018,66.975,66.975,66.975,66.975,0
18.11.2018 01:30:00.000 GMT+0330,18.11.2018,66.975,66.975,66.975,66.975,0
