Local time,Open,High,Low,Close,Volume
07.09.2012 01:30:00.000 GMT+0430,112.680,114.650,112.340,114.520,114853
08.09.2012 01:30:00.000 GMT+0430,114.520,114.520,114.520,114.520,0
09.09.2012 01:30:00.000 GMT+0430,114.520,114.520,114.520,114.520,0
10.09.2012 01:30:00.000 GMT+0430,114.600,115.050,113.920,114.760,95273
11.09.2012 01:30:00.000 GMT+0430,114.760,115.460,114.370,115.090,93970
12.09.2012 01:30:00.000 GMT+0430,115.090,116.670,115.000,115.480,88763
13.09.2012 01:30:00.000 GMT+0430,115.480,117.480,115.440,116.900,51751
14.09.2012 01:30:00.000 GMT+0430,116.900,116.900,116.900,116.900,2
15.09.2012 01:30:00.000 GMT+0430,116.900,116.900,116.900,116.900,0
16.09.2012 01:30:00.000 GMT+0430,116.900,116.900,116.900,116.900,0
17.09.2012 01:30:00.000 GMT+0430,116.900,116.900,116.900,116.900,0
18.09.2012 01:30:00.000 GMT+0430,116.900,116.900,116.900,116.900,1
19.09.2012 01:30:00.000 GMT+0430,116.900,116.900,116.900,116.900,0
20.09.2012 01:30:00.000 GMT+0430,108.800,110.580,108.260,110.550,55000
21.09.2012 00:30:00.000 GMT+0330,110.550,111.700,110.080,111.520,80660
22.09.2012 00:30:00.000 GMT+0330,111.520,111.520,111.520,111.520,0
23.09.2012 00:30:00.000 GMT+0330,111.520,111.520,111.520,111.520,0
24.09.2012 00:30:00.000 GMT+0330,111.420,111.560,108.780,109.860,104957
25.09.2012 00:30:00.000 GMT+0330,109.860,111.470,109.440,109.970,109474
26.09.2012 00:30:00.000 GMT+0330,109.970,110.230,108.450,110.000,107447
27.09.2012 00:30:00.000 GMT+0330,110.000,112.490,109.680,112.450,116537
28.09.2012 00:30:00.000 GMT+0330,112.450,113.390,111.520,112.170,101594
29.09.2012 00:30:00.000 GMT+0330,112.170,112.170,112.170,112.170,0
30.09.2012 00:30:00.000 GMT+0330,112.170,112.170,112.170,112.170,0
01.10.2012 00:30:00.000 GMT+0330,112.220,113.270,111.470,112.130,100231
02.10.2012 00:30:00.000 GMT+0330,112.100,112.450,111.280,111.320,60132
03.10.2012 00:30:00.000 GMT+0330,111.320,111.360,107.670,107.940,88375
04.10.2012 00:30:00.000 GMT+0330,107.972,112.690,107.972,112.300,120128
05.10.2012 00:30:00.000 GMT+0330,112.300,113.030,110.540,111.890,87662
06.10.2012 00:30:00.000 GMT+0330,111.890,111.890,111.890,111.890,0
07.10.2012 00:30:00.000 GMT+0330,111.890,111.890,111.890,111.890,0
08.10.2012 00:30:00.000 GMT+0330,112.040,112.250,110.540,112.210,86560
09.10.2012 00:30:00.000 GMT+0330,112.254,114.720,111.970,114.470,80457
10.10.2012 00:30:00.000 GMT+0330,114.510,115.590,113.780,114.670,85480
11.10.2012 00:30:00.000 GMT+0330,114.670,116.020,114.420,115.750,99084
12.10.2012 00:30:00.000 GMT+0330,115.750,115.960,113.950,114.570,48601
13.10.2012 00:30:00.000 GMT+0330,114.570,114.570,114.570,114.570,0
14.10.2012 00:30:00.000 GMT+0330,114.570,114.570,114.570,114.570,0
15.10.2012 00:30:00.000 GMT+0330,114.400,115.910,113.580,115.870,90673
16.10.2012 00:30:00.000 GMT+0330,115.870,116.200,114.500,115.070,36229
17.10.2012 00:30:00.000 GMT+0330,115.070,115.070,115.070,115.070,2
18.10.2012 00:30:00.000 GMT+0330,115.070,115.070,115.070,115.070,0
19.10.2012 00:30:00.000 GMT+0330,111.690,111.860,109.900,110.110,17611
20.10.2012 00:30:00.000 GMT+0330,110.110,110.110,110.110,110.110,0
21.10.2012 00:30:00.000 GMT+0330,110.110,110.110,110.110,110.110,0
22.10.2012 00:30:00.000 GMT+0330,110.320,110.970,109.120,109.740,121521
23.10.2012 00:30:00.000 GMT+0330,109.740,109.810,107.320,108.200,86675
24.10.2012 00:30:00.000 GMT+0330,108.200,109.330,106.800,107.830,76697
25.10.2012 00:30:00.000 GMT+0330,107.830,109.280,107.470,108.400,103852
26.10.2012 00:30:00.000 GMT+0330,108.400,109.700,107.400,109.640,73000
