Date,Close
5/13/2017,21041
5/10/2017,21041
5/9/2017,21041
5/8/2017,21041
5/7/2017,21035
5/6/2017,21065
5/3/2017,21165
5/2/2017,21007
5/1/2017,20768
4/30/2017,20504
4/29/2017,20513
4/26/2017,20742
4/24/2017,20791
4/23/2017,20926
4/22/2017,21651
4/19/2017,21842
4/18/2017,21589
4/17/2017,21340
4/16/2017,21129
4/15/2017,20931
4/12/2017,21030
4/10/2017,21103
4/9/2017,21011
4/8/2017,20966
4/5/2017,20859
4/4/2017,20930
4/3/2017,20947
3/29/2017,20740
3/28/2017,20823
3/27/2017,20636
3/26/2017,20475
3/25/2017,20973
3/18/2017,22076
3/15/2017,21764
3/14/2017,21752
3/13/2017,20717
3/12/2017,20569
3/11/2017,20544
3/8/2017,20572
3/7/2017,20556
3/6/2017,20562
3/5/2017,20561
3/4/2017,20558
3/1/2017,20554
2/28/2017,20556
2/27/2017,20572
2/26/2017,20598
2/25/2017,21256
2/22/2017,21129
2/21/2017,21260
2/20/2017,21505
2/19/2017,19102
2/18/2017,19102
2/15/2017,19102
2/14/2017,19102
2/13/2017,19102
2/12/2017,19102
2/11/2017,19102
2/8/2017,19102
2/7/2017,19102
2/6/2017,19102
2/5/2017,19102
2/4/2017,19102
2/1/2017,19102
1/31/2017,19102
1/30/2017,19102
1/29/2017,19102
1/28/2017,18347
1/25/2017,18380
1/24/2017,18401
1/23/2017,18322
1/22/2017,18332
1/21/2017,18526
1/18/2017,18464
1/17/2017,18577
1/16/2017,18380
1/15/2017,17991
1/14/2017,18166
1/11/2017,18375
1/9/2017,18116
1/8/2017,18190
1/7/2017,18104
1/4/2017,18281
1/3/2017,19137
1/2/2017,18606
1/1/2017,19345
12/31/2016,20311
12/28/2016,20439
12/27/2016,20150
12/26/2016,19260
12/25/2016,18354
12/24/2016,18063
12/21/2016,18022
12/20/2016,17264
12/19/2016,17264
12/18/2016,17264
12/14/2016,17264
12/13/2016,17264
12/12/2016,17010
12/11/2016,17559
12/10/2016,17433
12/7/2016,16694
12/6/2016,15942
12/5/2016,15183
12/4/2016,14515
12/3/2016,14251
11/29/2016,13875
11/27/2016,13875
11/26/2016,13875
11/23/2016,13517
11/22/2016,13166
11/21/2016,12972
11/19/2016,12530
11/16/2016,12460
11/15/2016,12898
11/14/2016,13100
11/13/2016,12979
11/12/2016,12916
11/9/2016,12324
11/8/2016,12443
11/7/2016,11951
11/6/2016,11673
11/5/2016,11867
11/2/2016,12163
11/1/2016,12406
10/31/2016,11846
10/30/2016,11282
10/29/2016,10745
10/26/2016,10234
10/25/2016,10016
10/24/2016,9901
10/23/2016,9809
10/22/2016,9869
10/19/2016,9955
10/18/2016,10043
10/17/2016,10101
10/16/2016,10032
10/15/2016,10041
10/10/2016,9599
10/9/2016,9218
10/8/2016,9213
10/5/2016,9271
10/4/2016,9271
10/3/2016,9252
10/2/2016,9498
10/1/2016,9715
9/28/2016,9570
9/27/2016,9487
9/26/2016,9459
9/25/2016,9405
9/24/2016,9328
9/21/2016,9049
9/19/2016,9000
9/18/2016,8978
9/17/2016,8990
9/14/2016,8779
9/13/2016,8997
9/11/2016,8992
9/10/2016,8999
9/7/2016,8955
9/6/2016,8942
9/5/2016,9000
9/4/2016,8956
9/3/2016,8953
8/31/2016,8988
8/30/2016,9001
8/29/2016,9049
8/28/2016,9195
8/27/2016,9117
8/24/2016,9109
8/23/2016,9203
8/22/2016,9188
8/21/2016,9211
8/20/2016,9270
8/17/2016,9171
8/16/2016,9205
8/15/2016,9193
8/14/2016,9220
8/13/2016,9265
8/10/2016,9211
8/9/2016,9271
8/8/2016,9187
8/7/2016,9091
8/6/2016,9255
8/3/2016,9481
8/2/2016,9646
8/1/2016,9588
7/31/2016,9413
7/27/2016,9306
7/26/2016,9329
7/25/2016,9385
7/24/2016,9500
