date,Close gas
26/03/2016,1.8049
27/03/2016,1.8049
28/03/2016,1.8459
29/03/2016,1.9747
30/03/2016,1.9853
31/03/2016,1.9575
1/4/2016,1.9509
2/4/2016,1.9509
3/4/2016,1.9509
4/4/2016,1.9978
5/4/2016,1.9351
6/4/2016,1.8975
7/4/2016,2.0113
8/4/2016,1.985
9/4/2016,1.985
10/4/2016,1.985
11/4/2016,1.9242
12/4/2016,2.0111
13/04/2016,2.0313
14/04/2016,1.9528
15/04/2016,1.9009
16/04/2016,1.9009
17/04/2016,1.9009
18/04/2016,1.9304
19/04/2016,2.0833
20/04/2016,2.0662
21/04/2016,2.0525
22/04/2016,2.1288
23/04/2016,2.1288
24/04/2016,2.1288
25/04/2016,2.0654
26/04/2016,2.0317
27/04/2016,2.1433
28/04/2016,2.0522
29/04/2016,2.1421
30/04/2016,2.1421
1/5/2016,2.1421
2/5/2016,2.0478
3/5/2016,2.0752
4/5/2016,2.1369
5/5/2016,2.0764
6/5/2016,2.088
7/5/2016,2.088
8/5/2016,2.088
9/5/2016,2.0913
10/5/2016,2.1561
11/5/2016,2.1602
12/5/2016,2.1273
13/05/2016,2.0924
14/05/2016,2.0924
15/05/2016,2.0924
16/05/2016,2.0273
17/05/2016,2.0489
18/05/2016,1.9998
19/05/2016,2.0293
20/05/2016,2.0438
21/05/2016,2.0438
22/05/2016,2.0438
23/05/2016,2.0578
24/05/2016,1.9714
25/05/2016,1.9646
26/05/2016,2.1388
27/05/2016,2.1602
28/05/2016,2.1602
29/05/2016,2.1602
30/05/2016,2.1535
31/05/2016,2.2838
1/6/2016,2.3716
2/6/2016,2.4016
3/6/2016,2.3925
4/6/2016,2.3925
5/6/2016,2.3925
6/6/2016,2.4365
7/6/2016,2.4795
8/6/2016,2.4566
9/6/2016,2.5839
10/6/2016,2.5713
11/6/2016,2.5713
12/6/2016,2.5713
13/06/2016,2.5746
14/06/2016,2.5975
15/06/2016,2.5865
16/06/2016,2.5764
17/06/2016,2.6369
18/06/2016,2.6369
19/06/2016,2.6369
20/06/2016,2.7351
21/06/2016,2.7573
22/06/2016,2.6625
23/06/2016,2.6935
24/06/2016,2.6565
25/06/2016,2.6565
26/06/2016,2.6565
27/06/2016,2.7254
28/06/2016,2.8664
29/06/2016,2.8546
30/06/2016,2.9279
1/7/2016,2.9817
2/7/2016,2.9817
3/7/2016,2.9817
4/7/2016,2.9081
5/7/2016,2.7621
6/7/2016,2.792
7/7/2016,2.751
8/7/2016,2.8082
9/7/2016,2.8082
10/7/2016,2.8082
11/7/2016,2.7054
12/7/2016,2.7323
13/07/2016,2.7396
14/07/2016,2.7244
15/07/2016,2.7491
16/07/2016,2.7491
17/07/2016,2.7491
18/07/2016,2.7283
19/07/2016,2.7156
20/07/2016,2.6476
21/07/2016,2.6837
22/07/2016,2.7748
23/07/2016,2.7748
24/07/2016,2.7748
25/07/2016,2.7248
26/07/2016,2.6899
27/07/2016,2.6606
28/07/2016,2.852
29/07/2016,2.8563
30/07/2016,2.8563
31/07/2016,2.8563
1/8/2016,2.7683
2/8/2016,2.73
3/8/2016,2.8389
4/8/2016,2.8172
5/8/2016,2.7548
6/8/2016,2.7548
7/8/2016,2.7548
8/8/2016,2.7344
9/8/2016,2.6127
10/8/2016,2.566
11/8/2016,2.5305
12/8/2016,2.5943
13/08/2016,2.5943
14/08/2016,2.5943
15/08/2016,2.5873
16/08/2016,2.6234
17/08/2016,2.6072
18/08/2016,2.6548
19/08/2016,2.568
20/08/2016,2.568
21/08/2016,2.568
22/08/2016,2.6662
23/08/2016,2.7538
24/08/2016,2.7834
25/08/2016,2.8318
26/08/2016,2.8523
27/08/2016,2.8523
28/08/2016,2.8523
29/08/2016,2.8882
30/08/2016,2.8262
31/08/2016,2.8743
1/9/2016,2.7993
2/9/2016,2.7867
3/9/2016,2.7867
4/9/2016,2.7867
5/9/2016,2.7498
6/9/2016,2.7166
7/9/2016,2.6793
8/9/2016,2.7939
9/9/2016,2.7888
10/9/2016,2.7888
11/9/2016,2.7888
12/9/2016,2.897
13/09/2016,2.8969
14/09/2016,2.8922
15/09/2016,2.9086
16/09/2016,2.947
17/09/2016,2.947
18/09/2016,2.947
19/09/2016,2.9316
20/09/2016,3.0606
21/09/2016,3.0652
22/09/2016,2.9852
23/09/2016,2.9641
24/09/2016,2.9641
25/09/2016,2.9641
26/09/2016,3.0031
27/09/2016,2.9812
28/09/2016,2.997
29/09/2016,2.9568
30/09/2016,2.8974
1/10/2016,2.8974
2/10/2016,2.8974
3/10/2016,2.9007
4/10/2016,2.967
5/10/2016,3.0283
6/10/2016,3.0317
7/10/2016,3.1633
8/10/2016,3.1633
9/10/2016,3.1633
10/10/2016,3.2692
11/10/2016,3.2188
12/10/2016,3.2099
13/10/2016,3.3365
14/10/2016,3.2819
15/10/2016,3.2819
16/10/2016,3.2819
17/10/2016,3.2461
18/10/2016,3.2491
19/10/2016,3.1588
20/10/2016,3.1161
21/10/2016,2.9739
